Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Calculated Std: tensor([0.2449, 0.1588, 0.0835])
Dataset: map, Train set: 7350, Val set: 1575
[!] Training from scratch
Epoch 1, Itrs 10/30000, Loss=0.527941
Epoch 1, Itrs 20/30000, Loss=0.088715
Epoch 1, Itrs 30/30000, Loss=0.070807
Epoch 1, Itrs 40/30000, Loss=0.065023
Epoch 1, Itrs 50/30000, Loss=0.052251
Epoch 1, Itrs 60/30000, Loss=0.047360
Epoch 1, Itrs 70/30000, Loss=0.050545
Epoch 1, Itrs 80/30000, Loss=0.045655
Epoch 1, Itrs 90/30000, Loss=0.043564
Epoch 1, Itrs 100/30000, Loss=0.042700
Epoch 1, Itrs 110/30000, Loss=0.042749
Epoch 1, Itrs 120/30000, Loss=0.043943
Epoch 1, Itrs 130/30000, Loss=0.045190
Epoch 1, Itrs 140/30000, Loss=0.047916
Epoch 1, Itrs 150/30000, Loss=0.045056
Epoch 1, Itrs 160/30000, Loss=0.041805
Epoch 1, Itrs 170/30000, Loss=0.040023
Epoch 1, Itrs 180/30000, Loss=0.039530
Epoch 1, Itrs 190/30000, Loss=0.042505
Epoch 1, Itrs 200/30000, Loss=0.044011
Epoch 1, Itrs 210/30000, Loss=0.037831
Epoch 1, Itrs 220/30000, Loss=0.037833
Epoch 1, Itrs 230/30000, Loss=0.040457
Epoch 1, Itrs 240/30000, Loss=0.043190
Epoch 1, Itrs 250/30000, Loss=0.043846
Epoch 1, Itrs 260/30000, Loss=0.040068
Epoch 1, Itrs 270/30000, Loss=0.038300
Epoch 1, Itrs 280/30000, Loss=0.039203
Epoch 1, Itrs 290/30000, Loss=0.032505
Epoch 1, Itrs 300/30000, Loss=0.037580
Epoch 1, Itrs 310/30000, Loss=0.039518
Epoch 1, Itrs 320/30000, Loss=0.034670
Epoch 1, Itrs 330/30000, Loss=0.037803
Epoch 1, Itrs 340/30000, Loss=0.037526
Epoch 1, Itrs 350/30000, Loss=0.035065
Epoch 1, Itrs 360/30000, Loss=0.040563
Epoch 1, Itrs 370/30000, Loss=0.037752
Epoch 1, Itrs 380/30000, Loss=0.038329
Epoch 1, Itrs 390/30000, Loss=0.038901
Epoch 1, Itrs 400/30000, Loss=0.039864
Epoch 1, Itrs 410/30000, Loss=0.037303
Epoch 1, Itrs 420/30000, Loss=0.040002
Epoch 1, Itrs 430/30000, Loss=0.035517
Epoch 1, Itrs 440/30000, Loss=0.036104
Epoch 1, Itrs 450/30000, Loss=0.034398
Epoch 1, Itrs 460/30000, Loss=0.036298
Epoch 1, Itrs 470/30000, Loss=0.038036
Epoch 1, Itrs 480/30000, Loss=0.039336
Epoch 1, Itrs 490/30000, Loss=0.034850
Epoch 1, Itrs 500/30000, Loss=0.039461
Epoch 1, Itrs 510/30000, Loss=0.034695
Epoch 1, Itrs 520/30000, Loss=0.036570
Epoch 1, Itrs 530/30000, Loss=0.038226
Epoch 1, Itrs 540/30000, Loss=0.035820
Epoch 1, Itrs 550/30000, Loss=0.034399
Epoch 1, Itrs 560/30000, Loss=0.031532
Epoch 1, Itrs 570/30000, Loss=0.037964
Epoch 1, Itrs 580/30000, Loss=0.033886
Epoch 1, Itrs 590/30000, Loss=0.035259
Epoch 1, Itrs 600/30000, Loss=0.037755
Epoch 1, Itrs 610/30000, Loss=0.033279
Epoch 1, Itrs 620/30000, Loss=0.036739
Epoch 1, Itrs 630/30000, Loss=0.040866
Epoch 1, Itrs 640/30000, Loss=0.030367
Epoch 1, Itrs 650/30000, Loss=0.033538
Epoch 1, Itrs 660/30000, Loss=0.034699
Epoch 1, Itrs 670/30000, Loss=0.039325
Epoch 1, Itrs 680/30000, Loss=0.034454
Epoch 1, Itrs 690/30000, Loss=0.036820
Epoch 1, Itrs 700/30000, Loss=0.036429
Epoch 1, Itrs 710/30000, Loss=0.034311
Epoch 1, Itrs 720/30000, Loss=0.036436
Epoch 1, Itrs 730/30000, Loss=0.033496
Epoch 1, Itrs 740/30000, Loss=0.037212
Epoch 1, Itrs 750/30000, Loss=0.032613
Epoch 1, Itrs 760/30000, Loss=0.035094
Epoch 1, Itrs 770/30000, Loss=0.035648
Epoch 1, Itrs 780/30000, Loss=0.033052
Epoch 1, Itrs 790/30000, Loss=0.033077
Epoch 1, Itrs 800/30000, Loss=0.034369
Epoch 1, Itrs 810/30000, Loss=0.031919
Epoch 1, Itrs 820/30000, Loss=0.030233
Epoch 1, Itrs 830/30000, Loss=0.038693
Epoch 1, Itrs 840/30000, Loss=0.035097
Epoch 1, Itrs 850/30000, Loss=0.038722
Epoch 1, Itrs 860/30000, Loss=0.032780
Epoch 1, Itrs 870/30000, Loss=0.038109
Epoch 1, Itrs 880/30000, Loss=0.032945
Epoch 1, Itrs 890/30000, Loss=0.033269
Epoch 1, Itrs 900/30000, Loss=0.033745
Epoch 1, Itrs 910/30000, Loss=0.032988
Epoch 2, Itrs 920/30000, Loss=0.036454
Epoch 2, Itrs 930/30000, Loss=0.036688
Epoch 2, Itrs 940/30000, Loss=0.033463
Epoch 2, Itrs 950/30000, Loss=0.035653
Epoch 2, Itrs 960/30000, Loss=0.036409
Epoch 2, Itrs 970/30000, Loss=0.034199
Epoch 2, Itrs 980/30000, Loss=0.032442
Epoch 2, Itrs 990/30000, Loss=0.034444
Epoch 2, Itrs 1000/30000, Loss=0.033112
